District,ZIPCODE,type,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Beacon Hill,2108,price,1069,1007,969,913,823,763,709,688,681,668,654
North End,"02109, 02113",price,746,716,695,662,600,542,503,497,496,495,476
Downtown,2110,price,1007,987,778,739,653,600,567,547,547,546,542
Leather District,2111,price,829,824,810,770,701,621,582,582,585,571,557
Chinatown,2111,price,829,824,810,770,701,621,582,582,585,571,557
West End,2114,price,826,771,738,701,632,587,551,526,522,524,527
Fenway,"02115, 02215",price,790,737,702,660,593,536,505,496,497,494,484
Back Bay,2116,price,1015,969,924,865,780,708,662,649,645,634,620
South End,2118,price,786,740,700,666,588,533,502,477,470,467,455
Roxbury,"02119, 02121",price,186,169,162,147,124,114,110,109,108,112,123
Mission Hill,2120,price,352,325,303,275,237,213,195,189,183,179,184
Dorchester,"02122, 02124, 02125",price,237,216,202,186,159,144,141,139,138,140,156
Mattapan,2126,price,204,190,182,167,143,132,130,136,138,143,161
South Boston,2127,price,508,480,445,411,364,322,296,287,281,279,287
East Boston,2128,price,281,249,220,202,170,153,145,142,141,145,160
Charlestown,2129,price,564,533,511,481,421,373,359,355,353,355,367
Jamaica Plain,2130,price,382,361,343,318,277,255,243,233,231,230,234
Roslindale,2131,price,279,261,248,232,207,188,187,186,185,188,199
West Roxbury,2132,price,307,289,281,265,247,233,233,230,227,228,236
Allston,2134,price,405,379,355,323,292,264,253,250,248,250,262
Brington,2135,price,417,390,367,335,302,273,261,258,257,260,272
Hyde Park,2136,price,234,224,213,202,180,169,169,173,170,176,193
Bay Village,2199,price,1481,1430,1375,1383,1203,1100,1040,1003,989,946,177
South Boston Waterfront,2210,price,900,892,820,677,606,528,500,476,476,482,482
Longwood,2446,price,345,328,317,285,250,219,212,201,198,200,206
Beacon Hill,2108,newbuilt,0,18,2,0,1,0,0,0,0,0,0
North End,"02109, 02113",newbuilt,0,3,18,0,0,4,3,0,1,1,102
Downtown,2110,newbuilt,0,0,443,0,0,0,0,0,0,0,0
Leather District,2111,newbuilt,0,0,4,0,0,256,0,0,0,0,0
Chinatown,2111,newbuilt,0,0,4,0,0,256,0,0,0,0,0
West End,2114,newbuilt,0,255,3,0,1,0,0,0,0,0,0
Fenway,"02115, 02215",newbuilt,0,6,104,0,46,48,7,0,0,2,0
Back Bay,2116,newbuilt,0,6,10,17,4,0,13,0,0,279,43
South End,2118,newbuilt,0,61,46,104,2,25,11,33,40,1,2
Roxbury,"02119, 02121",newbuilt,27,88,51,30,10,15,7,3,21,33,10
Mission Hill,2120,newbuilt,1,3,0,0,3,2,8,5,5,14,3
Dorchester,"02122, 02124, 02125",newbuilt,0,198,150,94,17,62,41,12,44,18,70
Mattapan,2126,newbuilt,0,17,9,8,1,5,0,2,2,19,3
South Boston,2127,newbuilt,1,274,238,150,96,150,96,95,55,40,94
East Boston,2128,newbuilt,0,180,138,66,5,43,4,2,18,2,2
Charlestown,2129,newbuilt,0,34,74,77,15,35,19,15,7,8,1
Jamaica Plain,2130,newbuilt,2,83,82,55,14,36,14,22,15,21,7
Roslindale,2131,newbuilt,3,41,34,26,15,29,5,7,14,11,14
West Roxbury,2132,newbuilt,0,7,22,11,8,9,13,63,31,16,33
Allston,2134,newbuilt,0,6,0,7,0,2,1,0,0,8,14
Brington,2135,newbuilt,0,18,11,79,3,16,5,3,4,14,3
Hyde Park,2136,newbuilt,1,18,9,10,11,12,10,5,70,7,13
Bay Village,2199,newbuilt,0,0,0,0,0,0,0,0,0,0,17
South Boston Waterfront,2210,newbuilt,0,0,45,108,0,0,0,0,0,0,0
Longwood,2446,newbuilt,0,0,0,0,0,0,0,0,0,0,0
Beacon Hill,2108,ratio,4,4,4,4,4,4,4,4,4,3,3
North End,"02109, 02113",ratio,12,12,11.5,11.5,11.5,11.5,12,11.5,11.5,11.5,11.5
Downtown,2110,ratio,4,4,3,3,3,3,2,2,3,3,2
Leather District,2111,ratio,6,6,6,6,6,6,5,5,5,5,5
Chinatown,2111,ratio,6,6,6,6,6,6,5,5,5,5,5
West End,2114,ratio,15,13,13,13,13,13,13,12,12,12,12
Fenway,"02115, 02215",ratio,13,12.5,12.5,12.5,12.5,12.5,13,13,13,13,13.5
Back Bay,2116,ratio,16,16,16,16,16,16,15,16,16,16,16
South End,2118,ratio,16,16,16,15,15,15,16,15,16,17,17
Roxbury,"02119, 02121",ratio,12,12,11.5,11.5,11.5,11.5,11.5,11.5,12,12.5,13
Mission Hill,2120,ratio,13,14,14,14,12,12,12,13,13,13,14
Dorchester,"02122, 02124, 02125",ratio,17,17,16,16,16,16,16,16,17,18,17
Mattapan,2126,ratio,24,24,24,24,23,23,23,26,24,27,27
South Boston,2127,ratio,16,16,14,14,13,13,12,12,12,13,13
East Boston,2128,ratio,14,13,13,13,13,13,12,12,13,14,14
Charlestown,2129,ratio,21,21,20,19,19,19,20,20,20,22,22
Jamaica Plain,2130,ratio,28,27,26,26,25,25,25,25,26,27,27
Roslindale,2131,ratio,27,27,26,26,25,25,25,25,26,27,27
West Roxbury,2132,ratio,31,31,29,28,28,28,28,28,29,30,29
Allston,2134,ratio,10,10,10,9,10,10,9,9,10,11,11
Brington,2135,ratio,27,27,26,25,25,25,25,26,26,28,28
Hyde Park,2136,ratio,21,21,21,20,20,20,20,20,21,25,25
Bay Village,2199,ratio,11,11,11,52,52,52,231,354,662,883,745
South Boston Waterfront,2210,ratio,15,16,16,16,17,17,60,52,55,57,61
Longwood,2446,ratio,0,0,0,0,0,0,0,0,0,0,0
